paper_id,evidence_id,claim_id,raw_quote,source_locator,locator_type,locator_confidence,support_role,support_source_bucket,final_strength,verified_locator_quality,human_label
X41c4uB4k0,evidence-first-support-1-turn-3,claim-context-1,"In this section, we treat conditional 3D molecule generation as an inverse problem and develop a feasible solution shown in Fig. 1. Traditionally, molecular design has been a forward process, where re",Fig. 1,figure,0.9,empirical_result,table_or_figure,medium,,
X41c4uB4k0,evidence-negative-quote-bank-quote-negative-or-gap-1-1,claim-2,"However, we cannot generate good molecules with the desired property due to the limitation of DPS. DPS replaces $\bar{p_{t}}\bar{(\mathbf{z}_{0}\vert\mathbf{z}_{t})}$ with a delta distribution around",Limitation / Gap / Negative evidence excerpt #1,generic,0.0,paper_evidence,limitation_or_gap,missing,,
X41c4uB4k0,evidence-first-support-3-turn-7,claim-context-2,Table 1: The mean absolute error (MAE) in single-objective 3D molecule generation tasks,Table 1,table,0.9,empirical_result,table_or_figure,medium,,
ZHr0JajZfH,evidence-first-support-1-turn-2,claim-2,"\caption{Comparison of the averaged D4RL score on MuJoCo tasks with \textbf{TD3+BC} as the offline RL backbone method. r = random, m = medium, m-r = medium-replay. We report the mean and standard devi",Table/Figure excerpt #2,generic,0.0,empirical_result,table_or_figure,strong,,
ZHr0JajZfH,evidence-first-support-2-turn-5,claim-1,"\caption{Comparison of the averaged D4RL score on MuJoCo tasks with \textbf{TD3+BC} as the offline RL backbone method. r = random, m = medium, m-r = medium-replay. We report the mean and standard devi",Table/Figure excerpt #2,generic,0.0,empirical_result,table_or_figure,strong,,
hj323oR3rw,evidence-first-support-1-turn-2,claim-2,"Figure 3: Training with AMP further amplifies the entropy difference between known and unknown samples, leading to improved performances.",Figure 3,figure,0.9,empirical_result,table_or_figure,strong,,
hj323oR3rw,evidence-negative-quote-bank-quote-negative-or-gap-2-1,claim-1,"Unimodal TTA methods, such as Tent (Wang et al., 2021) and SAR (Niu et al., 2023), underperform in the multimodal open-set TTA setup, revealing their limited adaptability in complex scenarios involvin",Limitation / Gap / Negative evidence excerpt #2,generic,0.0,paper_evidence,limitation_or_gap,missing,,
hj323oR3rw,evidence-first-support-3-turn-5,claim-1,"Figure 3: Training with AMP further amplifies the entropy difference between known and unknown samples, leading to improved performances.",Figure 3,figure,0.9,empirical_result,table_or_figure,strong,,
kam84eEmub,evidence-directly-confirms-the-method-of-turn-2,claim-2,We map DAGs into a unique sequence by extending topological orderings from a sequence of singleton subsets to general subsets.,Claim-matched evidence excerpt #1,generic,0.0,paper_evidence,method_description,strong,,
kam84eEmub,evidence-title-confirms-the-proposed-mode-turn-2,claim-1,\title{LayerDAG: A Layerwise Autoregressive Diffusion Model for Directed Acyclic Graph Generation},Method / Approach excerpt #1,generic,0.0,method_description,method_or_approach,strong,,
